#Reads:	196031
#Bases:	809296219
#Max:	58041
#Min:	9
#Avg:	4128.4
#Median:	3950
#Mode:	3630
#Std_Dev:	1663.6
#Read Length Histogram:
#Length	reads	pct_reads	cum_reads	cum_pct_reads	bases	pct_bases	cum_bases	cum_pct_bases
7380	90	0.046%	7039	3.591%	664616	0.082%	56962976	7.039%
7390	85	0.043%	6949	3.545%	628535	0.078%	56298360	6.956%
7400	113	0.058%	6864	3.501%	836693	0.103%	55669825	6.879%
7410	72	0.037%	6751	3.444%	533853	0.066%	54833132	6.775%
7420	87	0.044%	6679	3.407%	645917	0.080%	54299279	6.709%
7430	80	0.041%	6592	3.363%	594776	0.073%	53653362	6.630%
7440	92	0.047%	6512	3.322%	684943	0.085%	53058586	6.556%
7450	60	0.031%	6420	3.275%	447268	0.055%	52373643	6.472%
7460	89	0.045%	6360	3.244%	664348	0.082%	51926375	6.416%
7470	78	0.040%	6271	3.199%	583038	0.072%	51262027	6.334%
7480	85	0.043%	6193	3.159%	636161	0.079%	50678989	6.262%
7490	71	0.036%	6108	3.116%	532144	0.066%	50042828	6.183%
7500	83	0.042%	6037	3.080%	622848	0.077%	49510684	6.118%
7510	84	0.043%	5954	3.037%	631206	0.078%	48887836	6.041%
7520	67	0.034%	5870	2.994%	504188	0.062%	48256630	5.963%
7530	83	0.042%	5803	2.960%	625323	0.077%	47752442	5.900%
7540	77	0.039%	5720	2.918%	580945	0.072%	47127119	5.823%
7550	67	0.034%	5643	2.879%	506105	0.063%	46546174	5.751%
7560	81	0.041%	5576	2.844%	612720	0.076%	46040069	5.689%
7570	81	0.041%	5495	2.803%	613536	0.076%	45427349	5.613%
7580	71	0.036%	5414	2.762%	538471	0.067%	44813813	5.537%
7590	77	0.039%	5343	2.726%	584777	0.072%	44275342	5.471%
7600	72	0.037%	5266	2.686%	547567	0.068%	43690565	5.399%
7610	72	0.037%	5194	2.650%	548227	0.068%	43142998	5.331%
7620	70	0.036%	5122	2.613%	533719	0.066%	42594771	5.263%
7630	80	0.041%	5052	2.577%	610774	0.075%	42061052	5.197%
7640	58	0.030%	4972	2.536%	443414	0.055%	41450278	5.122%
7650	66	0.034%	4914	2.507%	505213	0.062%	41006864	5.067%
7660	76	0.039%	4848	2.473%	582546	0.072%	40501651	5.005%
7670	83	0.042%	4772	2.434%	636993	0.079%	39919105	4.933%
7680	49	0.025%	4689	2.392%	376569	0.047%	39282112	4.854%
7690	53	0.027%	4640	2.367%	407812	0.050%	38905543	4.807%
7700	70	0.036%	4587	2.340%	539325	0.067%	38497731	4.757%
7710	71	0.036%	4517	2.304%	547724	0.068%	37958406	4.690%
7720	65	0.033%	4446	2.268%	502104	0.062%	37410682	4.623%
7730	77	0.039%	4381	2.235%	595531	0.074%	36908578	4.561%
7740	51	0.026%	4304	2.196%	394958	0.049%	36313047	4.487%
7750	54	0.028%	4253	2.170%	418714	0.052%	35918089	4.438%
7760	46	0.023%	4199	2.142%	357169	0.044%	35499375	4.386%
7770	61	0.031%	4153	2.119%	474253	0.059%	35142206	4.342%
7780	49	0.025%	4092	2.087%	381400	0.047%	34667953	4.284%
7790	56	0.029%	4043	2.062%	436434	0.054%	34286553	4.237%
7800	59	0.030%	3987	2.034%	460481	0.057%	33850119	4.183%
7810	55	0.028%	3928	2.004%	429778	0.053%	33389638	4.126%
7820	52	0.027%	3873	1.976%	406842	0.050%	32959860	4.073%
7830	69	0.035%	3821	1.949%	540623	0.067%	32553018	4.022%
7840	44	0.022%	3752	1.914%	345173	0.043%	32012395	3.956%
7850	60	0.031%	3708	1.892%	471256	0.058%	31667222	3.913%
7860	53	0.027%	3648	1.861%	416824	0.052%	31195966	3.855%
7870	53	0.027%	3595	1.834%	417316	0.052%	30779142	3.803%
7880	48	0.024%	3542	1.807%	378421	0.047%	30361826	3.752%
7890	62	0.032%	3494	1.782%	489464	0.060%	29983405	3.705%
7900	56	0.029%	3432	1.751%	442672	0.055%	29493941	3.644%
7910	53	0.027%	3376	1.722%	419476	0.052%	29051269	3.590%
7920	46	0.023%	3323	1.695%	364501	0.045%	28631793	3.538%
7930	56	0.029%	3277	1.672%	444329	0.055%	28267292	3.493%
7940	54	0.028%	3221	1.643%	429011	0.053%	27822963	3.438%
7950	57	0.029%	3167	1.616%	453400	0.056%	27393952	3.385%
7960	45	0.023%	3110	1.586%	358395	0.044%	26940552	3.329%
7970	54	0.028%	3065	1.564%	430657	0.053%	26582157	3.285%
7980	50	0.026%	3011	1.536%	399210	0.049%	26151500	3.231%
7990	52	0.027%	2961	1.510%	415696	0.051%	25752290	3.182%
8000	46	0.023%	2909	1.484%	368216	0.045%	25336594	3.131%
8010	43	0.022%	2863	1.460%	344617	0.043%	24968378	3.085%
8020	37	0.019%	2820	1.439%	296898	0.037%	24623761	3.043%
8030	46	0.023%	2783	1.420%	369551	0.046%	24326863	3.006%
